,Founded,Company,Sector,Headquarters,Investors Name,Stage,Amount,Industry Vertical,Year,numberofinvestors
2555,2017,CoinSwitch Kuber,FinTech,bangalore,"Paradigm, Kunal Shah",seriesb,25000000,Other,2017,1
2556,2014,Razorpay,FinTech,bangalore,"Matrix Partners India, GIC",seriese,160000000,Other,2014,1
2557,2015,ZFW Hospitality,Food & Beverages,new delhi,"Mumbai Angels Network, Expert DOJO",pre-seed,150000,Other,2015,1
2558,2017,Optimized Electrotech,Aeorspace,ahmadabad,GVFL,pre-seriesa,1800000,Other,2017,1
2559,2019,Chara,Deep Tech,bangalore,Kalaari Capital,seed,850000,Other,2019,1
2560,2015,Sirona Hygiene,HealthTech,new delhi,"NB Ventures, IAN Fund",seriesa,3000000,Other,2015,1
2561,2018,Pristyn Care,HealthTech,gurugram,"Sequoia Capital India, Hummingbird Ventures",seriesd,53000000,Other,2018,1
2562,2013,TrulyMadly,Dating,new delhi,"Gaurav Munjal, Snehil Khanor",pre-seriesa,2000000,Other,2013,1
2563,2019,SuperK,Retail,"small towns, andhra pradesh",STRIVE VC,seed,800000,Other,2019,1
2564,2019,TagZ Foods,Food,bangalore,Venture Catalysts,pre-seriesa,500000,Other,2019,1
2565,2019,Puresh Daily,Milk startup,ranchi,"Alfa Ventures, Agility Venture Partners",seed,100000,Other,2019,1
2566,2020,LimeChat,AI Chatbot,"faridabad, haryana","Stellaris Venture Partners, Ramakant Sharma",seed,7500000,Other,2020,1
2567,2019,Dybo,IT,bangalore,Spanache,seed,100000,Other,2019,1
2568,2018,Solethreads,Fashion,gurugram,"DSG Consumer Partners, Saama Capital",seriesa,1000000,Other,2018,1
2569,2020,Cred,FinTech,new delhi,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",seed,2000000,Other,2020,1
2570,2016,PlayShifu,EdTech,bangalore,"Chiratae Ventures, Bharat Innovation Fund",seriesb,17000000,Other,2016,1
2571,2015,Pitstop,Automotive,bangalore,"Acko Technology, Services, LetsVenture",pre-seriesb,3500000,Other,2015,1
2572,1999,Lendingkart,FinTech,gujarat,"Bertelsmann India Investments, Fullerton Financial Holdings",debt,15000000,Other,1999,1
2573,2018,CRED,FinTech,bangalore,"Dragoneer Investment Group, Tiger Global Management",seriesd,215000000,Other,2018,1
2574,2015,Karnival,SaaS startup,bangalore,http://100x.vc/,seed,2500000,Other,2015,1
2575,2015,PharmEasy,HealthTech,mumbai,"TPG Growth, Caisse de Depot et Placement du Quebec",seriese,350000000,Other,2015,1
2576,2017,Groww,FinTech,bangalore,"Tiger Global Management, Y Combinator Continuity Fund",seriesd,83000000,Other,2017,1
2577,2016,Fi,FinTech,bangalore,Michael & Susan Dell Foundation,seriesa,26000000,Other,2016,1
2578,2019,Superpro.ai,Video communication,bangalore,"SOSV, Omphalos Ventures India",seed,3000000,Other,2019,1
2579,2020,WiT-ACE,Skill development,gurugram,CitiusTech,seed,1000000,Other,2020,1
2580,2015,Spinny,Retail,gurugram,"Arena Holdings, Think Investments",seriesc,65000000,Other,2015,1
2581,2018,PumPumPum,Rental,gurugram,"Kogta Financial India Limited, ICICI Bank",pre-seriesa,700000,Other,2018,1
2582,2016,Eunimart,E-commerce,hyderabad,"SucSEED Venture Partners, TMT Connekt",pre-seriesa,700000,Other,2016,1
2583,2020,Uable,EdTech,bangalore,"JAFCO Asia, Chiratae Ventures",pre-seriesa,35000000,Other,2020,1
2584,2016,Zoko,Tech Startup,bangalore,Y Combinator,seed,140000000,Other,2016,1
2585,2019,GetWork,Recruitment,gurugram,Artha Venture Fund,seed,200000,Other,2019,1
2586,2015,Easebuzz,E-commerce,pune,"Jitendra Gupta, Amrish Rau",seriesa,4000000,Other,2015,1
2587,2017,DusMinute,Retail,bangalore,Indian Angel Network,pre-seriesa,1100000,Other,2017,1
2588,2020,SkilloVilla,EdTech,bangalore,Titan Capital,seed,300000,Other,2020,1
2589,2014,Cancer Clinics,HealthCare,telugana,Axilor,pre-seriesa,1500000,Other,2014,1
2590,2020,Velocity,FinTech,bangalore,Valar Ventures,seed,1300000,Other,2020,1
2591,2016,Jar,Food & Beverages,new delhi,Inflection Point Ventures,seed,400000,Other,2016,1
2592,2015,ExtraaEdge,MarTech,pune,"9Unicorns Accelerator Fund, Indian Angel Network",pre-seriesa,1000000,Other,2015,1
2593,2019,Zotalabs,Tech Startup,pune,Alfa Ventures,seed,1250000,Other,2019,1
2594,2014,Voiro,Advertisement,bangalore,1Crowd,pre-seriesa,1800000,Other,2014,1
2595,2019,Rupifi,FinTech,bangalore,Quona Capital,pre-seriesa,4100000,Other,2019,1
2596,1994,Moneyboxx,FinTech,mumbai,"Ashv Finance, BlackSoil Capital",debt,3000000,Other,1994,1
2597,2019,CityMall,E-commerce,gurugram,"WaterBridge Ventures, SAIF Partners",seriesa,11000000,Other,2019,1
2598,2020,Janani,Heathcare,bangalore,"Sweta Rau, 9Unicorns Accelerator Fund",seed,1000000,Other,2020,1
2599,2020,ReshaMandi,AgriTech,bangalore,"Omnivore, Strive Ventures",seed,1700000,Other,2020,1
2600,2019,DotPe,FinTech,gurugram,"PayU, Google",seriesa,27000000,Other,2019,1
2601,2011,BYJU'S,EdTech,bangalore,"BlackRock, Owl Ventures",seriesf,460000000,Other,2011,1
2602,2014,Plix,HealthCare,bangalore,"JSW Ventures, Kalaari Capital",seriesb,13500000,Other,2014,1
2603,2019,Masai School,EdTech,bangalore,"Unitus Ventures, Omidyar Network India",seriesa,5000000,Other,2019,1
2604,2007,Stelis Biopharma,BioTechnology,bangalore,"RouteOne, Mankekar Family Office",seriesb,195000000,Other,2007,1
2605,2020,NeoDove,AI startup,jaipur,India Quotient,seed,15000000,Other,2020,1
2606,2018,KreditBee,FinTech,bangalore,"Alpine Capital, PremjiInvest",seed,75000000,Other,2018,1
2607,2014,True Balance,FinTech,gurugram,"Bon Angels Venture Partners, Daesung Private Equity",debt,10000000,Other,2014,1
2608,2019,FloBiz,Tech Startup,bangalore,Elevation Capital,seriesa,10000000,Other,2019,1
2609,2020,Jeevam Health,Health care,new delhi,Y Combinator,pre-seed,1500000,Other,2020,1
2610,2016,OZiva,Heathcare,mumbai,"F-Prime Capital, Eight Roads Ventures India",seriesb,12000000,Other,2016,1
2611,2004,Blive,Tourism,panaji,"Mumbai Angels, DNA Entertainment Networks",pre-seriesa,1000000,Other,2004,1
2612,2018,Euler Motors,Automotive,new delhi,"ADB Ventures, Jetty Ventures",seriesa,2600000,Other,2018,1
2613,2019,Pixxel,SpaceTech,bangalore,"Techstars, Ryan Johnson",seed,7300000,Other,2019,1
2614,2016,Prescinto,Solar,gujarat,"Venture Catalysts, 9Unicorns Accelerator Fund",seed,3500000,Other,2016,1
2615,2015,MyGlamm,Beauty products,mumbai,Bessemer Venture Partners,seriesc,20000000,Other,2015,1
